"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"B4P4LVD8","journalArticle","2016","龚凡 王梦婕 阮彤 王昊奋 陆灏","电子病历文本症状自动识别方法","医学信息学杂志","","1673-6036","10.3969/j.issn.1673-6036.2016.07.002","","基于症状体系识别的难点,提出一种创新的基于症状构成模式的非监督学习方法来实现电子病历症状实体的自动抽取,介绍其总体过程并与基于CRF序列标注的监督学习方法进行比较,试验证明本文所提出的方法具有良好的识别效果和可扩展性。","2016","2022-07-23 05:53:01","2023-11-28 02:21:11","","7–14","","7","37","","","","","","","","","","chi","","","","","primo.lib.ccu.edu.tw","","Publisher: 上海中医药大学附属曙光医院 上海201203%华东理工大学 上海200237%上海中医院大学附属曙光医院 上海201203 abstractTranslation:  基於體系識別的難點，提出一種創新的基於症狀構成模式的非監督學習方法來實現電子病歷症狀實體的自動抽取，介紹其總體流程並與基於CRF序列標籤的監督學習方法進行比較、試驗證明本文提出的方法具有良好的識別效果和可擴展性。 titleTranslation: 電子病歷文本症狀自動識別方法","","","","","医疗实体抽取; 结构化电子病历; 症状构成模式","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QTGR5C3Y","journalArticle","2014","王华珍; 彭淑娟; 缑锦; 陈锻生","基于随机森林的中医数据可视化研究","系统仿真学报","","","","http://www.cqvip.com/qk/96569x/201411/663479197.html","中医诊疗研究引入机器学习方法存在交互性差和特征值离散性两大缺陷。引入基于随机森林(Random Forest,RF)的可视化技术,对原始数据进行基于RF的特征变换,使样本在新特征空间的类可分性增强;采用主坐标分析法对变换后的...","2014","2022-08-05 07:05:44","2023-11-28 02:44:18","2022-08-05 07:05:44","2751-2756","","11","26","","","","","","","","","","","","","","","www.cqvip.com","","","","","","No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C678CXKD","journalArticle","2014","吕兵; 王华珍","基于随机森林的高维数据可视化","计算机应用","","","","http://www.cqvip.com/qk/94832x/201406/49821890.html","目前对高维数据进行挖掘的方法大多是基于数学理论而非可视化的直觉。为便于直观分析和评价高维数据,提出引入随机森林(RF)方法对高维数据进行数据可视化。首先,采用RF进行有监督学习得到样本间的相似度度量,并采用主坐...","2014","2022-08-05 06:41:31","2023-11-28 02:44:19","2022-08-05 06:41:31","1613-1617","","6","34","","","","","","","","","","","","","","","www.cqvip.com","","","","C:\Users\BlackCat\Zotero\storage\6EPBLDHV\吕兵 與 王华珍 - 2014 - 基于随机森林的高维数据可视化.pdf","","No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7I6DGTQ","journalArticle","2018","何霆; 吴雅婷; 王华珍; 熊英杰; 孙偲; 徐汉川","基于EHR的医疗知识图谱研究与应用综述","哈尔滨工业大学学报","","","","http://www.cqvip.com/qk/90629x/201811/7000858771.html","电子健康记录(EHR)作为一种医疗信息化手段,在数十年的使用过程中储存和积累了越来越多的医疗过程和结果大数据.知识图谱作为一种从海量数据中抽取结构化知识的手段,近年来在多个行业展示了广阔的应用前景.知识图谱的优...","2018","2022-08-05 06:38:54","2023-11-28 02:44:17","2022-08-05 06:38:54","137-144","","11","50","","","","","","","","","","","","","","","www.cqvip.com","","","","","","No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3YYM89LA","journalArticle","2019","Liang Yao; Zhe Jin; Chengsheng Mao; Yin Zhang; Yuan Luo","Traditional Chinese medicine clinical records classification with BERT and domain specific corpora","Journal of the American Medical Informatics Association: JAMIA","","1527-974X","10.1093/jamia/ocz164","","Traditional Chinese Medicine (TCM) has been developed for several thousand years and plays a significant role in health care for Chinese people. This paper studies the problem of classifying TCM clinical records into 5 main disease categories in TCM. We explored a number of state-of-the-art deep learning models and found that the recent Bidirectional Encoder Representations from Transformers can achieve better results than other deep learning models and other state-of-the-art methods. We further utilized an unlabeled clinical corpus to fine-tune the BERT language model before training the text classifier. The method only uses Chinese characters in clinical text as input without preprocessing or feature engineering. We evaluated deep learning models and traditional text classifiers on a benchmark data set. Our method achieves a state-of-the-art accuracy 89.39% ± 0.35%, Macro F1 score 88.64% ± 0.40% and Micro F1 score 89.39% ± 0.35%. We also visualized attention weights in our method, which can reveal indicative characters in clinical text.","2019-12-01","2022-08-05 06:25:20","2024-03-26 15:26:04","","1632-1636","","12","26","","J Am Med Inform Assoc","","","","","","","","eng","","","","","PubMed","","44 citations (Crossref) [2024-03-26] PMID: 31550356 PMCID: PMC7647141 titleTranslation: 使用 BERT 和特定領域語料庫進行中醫臨床記錄分類 abstractTranslation:  中醫藥已有數千年的發展歷史，在中國人民的健康保健中發揮著重要作用。本文研究了中醫臨床病案分類為中醫5大病種的問題。我們探索了許多最先進的深度學習模型，發現最近 Transformers 的雙向編碼器表示可以比其他深度學習模型和其他最先進的方法取得更好的結果。在訓練文本分類器之前，我們進一步利用未標記的臨床語料庫對 BERT 語言模型進行微調。該方法僅使用臨床文本中的漢字作為輸入，沒有進行預處理或特徵工程。我們在基準數據集上評估了深度學習模型和傳統文本分類器。我們的方法達到了最先進的準確度 89.39% ± 0.35%，Macro F1 分數 88.64% ± 0.40% 和 Micro F1 分數 89.39% ± 0.35%。我們還在我們的方法中可視化了注意力權重，這可以揭示臨床文本中的指示性特徵。","","C:\Users\BlackCat\Zotero\storage\RC7462SH\Liang Yao 等。 - 2019 - Traditional Chinese medicine clinical records clas.pdf","","","Benchmarking; BERT; clinical records classification; Datasets as Topic; Deep Learning; domain knowledge; Medical Records; Medicine, Chinese Traditional; natural language processing; Natural Language Processing; TCM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HEQFMW2","journalArticle","2016","谢剑; 周小茜; 童凌; 罗凌云","基于中文分词的电子病历数据挖掘技术","Hu'nan Keji Xueyuan xuebao","","1673-2219","","","电子病历中存在海量非结构化数据,其中隐含的信息对于医学研究与应用均具有重要的意义。文章通过比较各类中文分词器的优劣,结合词典扩充技术,挖掘出真实电子病历中的疾病与药品信息,并对疾病与疾病、疾病与药品进行关联分析,发掘有价值的信息。实验结果表明该方法是行之有效的。","2016","2022-08-05 06:18:31","2023-11-28 02:44:19","","54–59","","10","37","","","","","","","","","","chi","","","","","ntu.primo.exlibrisgroup.com","","abstractTranslation:  電子病歷中存在海量非重構數據，其中隱含的信息對於醫學研究與應用均具有重要意義。文章通過比較通用中文分詞器的優劣，結合搜索補充技術，挖掘出真實的電子病歷中的疾病與藥品信息，將疾病與疾病、疾病與藥品進行關聯分析，挖掘有價值的信息。實驗結果表明該方法是行之有效的。 titleTranslation: 基於中文分詞的電子病歷數據挖掘技術","","C:\Users\BlackCat\Zotero\storage\39PWYDJ6\谢剑 等。 - 2016 - 基于中文分词的电子病历数据挖掘技术.pdf","","No DOI found","电子病历; 医学数据","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NFTDQRZ","journalArticle","2022","Chenyuan Hu; Shuoyan Zhang; Tianyu Gu; Zhuangzhi Yan; Jiehui Jiang","Multi-Task Joint Learning Model for Chinese Word Segmentation and Syndrome Differentiation in Traditional Chinese Medicine","International Journal of Environmental Research and Public Health","","1660-4601","10.3390/ijerph19095601","https://www.mdpi.com/1660-4601/19/9/5601","Evidence-based treatment is the basis of traditional Chinese medicine (TCM), and the accurate differentiation of syndromes is important for treatment in this context. The automatic differentiation of syndromes of unstructured medical records requires two important steps: Chinese word segmentation and text classification. Due to the ambiguity of the Chinese language and the peculiarities of syndrome differentiation, these tasks pose a daunting challenge. We use text classification to model syndrome differentiation for TCM, and use multi-task learning (MTL) and deep learning to accomplish the two challenging tasks of Chinese word segmentation and syndrome differentiation. Two classic deep neural networks—bidirectional long short-term memory (Bi-LSTM) and text-based convolutional neural networks (TextCNN)—are fused into MTL to simultaneously carry out these two tasks. We used our proposed method to conduct a large number of comparative experiments. The experimental comparisons showed that it was superior to other methods on both tasks. Our model yielded values of accuracy, specificity, and sensitivity of 0.93, 0.94, and 0.90, and 0.80, 0.82, and 0.78 on the Chinese word segmentation task and the syndrome differentiation task, respectively. Moreover, statistical analyses showed that the accuracies of the non-joint and joint models were both within the 95% confidence interval, with pvalue < 0.05. The experimental comparison showed that our method is superior to prevalent methods on both tasks. The work here can help modernize TCM through intelligent differentiation.","2022-01","2022-08-03 07:02:56","2024-03-26 15:26:05","2022-08-03 07:02:56","5601","","9","19","","","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","13 citations (Crossref) [2024-03-26] titleTranslation: 中醫分詞與辨證的多任務聯合學習模型 abstractTranslation:  循證治療是中醫的基礎，準確辨證對於治療具有重要意義。非結構化病歷的自動辨證需要兩個重要步驟：中文分詞和文本分類。由於漢語的歧義性和辨證論治的特殊性，這些任務提出了艱鉅的挑戰。我們使用文本分類來模擬中醫辨證，並使用多任務學習（MTL）和深度學習來完成中文分詞和辨證這兩個具有挑戰性的任務。兩種經典的深度神經網絡——雙向長短期記憶網絡（Bi-LSTM）和基於文本的捲積神經網絡（TextCNN）——被融合到 MTL 中以同時執行這兩項任務。我們使用我們提出的方法進行了大量的對比實驗。實驗比較表明，它在這兩項任務上均優於其他方法。我們的模型在中文分詞任務和辨證任務上的準確度、特異性和敏感性分別為 0.93、0.94 和 0.90，以及 0.80、0.82 和 0.78。此外，統計分析表明，非聯合模型和聯合模型的準確性均在 95% 置信區間內，p 值 < 0.05。實驗比較表明，我們的方法在這兩項任務上都優於流行的方法。這裡的工作可以通過智能差異化來幫助實現中醫現代化。","","C:\Users\BlackCat\Zotero\storage\6Z6RTF9S\Hu et al. - 2022 - Multi-Task Joint Learning Model for Chinese Word Segmentation and Syndrome Differentiation in Traditional Chinese Medicine.pdf","","","deep learning; joint learning; multi-task learning; syndrome differentiation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6NXJ9MEU","conferencePaper","2016","Liang Yao; Yin Zhang; Baogang Wei; Zherong Li; Xiangzhou Huang","Traditional Chinese medicine clinical records classification using knowledge-powered document embedding","","978-1-5090-1611-2","","10.1109/bibm.2016.7822817","https://www.computer.org/csdl/proceedings-article/bibm/2016/07822817/12OmNyKJik2","Text classification is one of the fundamental tasks in text mining. In the medical domain, there have been a number of studies on text classification in modern medicine clinical notes written in English. However, very limited text classification research has been conducted on clinical notes written in Chinese, especially traditional Chinese medicine (TCM) clinical records. The goal of this study was to investigate features and machine learning classification algorithms for TCM clinical text classification. We collected 7,037 TCM clinical records of famous TCM doctors as our dataset, and investigated the effects of different types of features and classification algorithms. Additionally, we proposed a novel method to combine deep learning text representation with TCM domain knowledge, which results in the best classification performance.","2016-12-01","2022-08-03 06:59:49","2024-03-26 15:26:05","2022-08-03 06:59:49","1926-1928","","","","","","","","","","","IEEE Computer Society","","English","","","","","www.computer.org","","6 citations (Crossref) [2024-03-26] abstractTranslation:  文本分類是文本挖掘的基本任務之一。在醫學領域，已經有許多關於現代醫學英文臨床筆記文本分類的研究。然而，對中文臨床記錄，特別是中醫臨床記錄進行的文本分類研究非常有限。本研究的目的是研究中醫臨床文本分類的特徵和機器學習分類算法。我們收集了 7,037 名名中醫的中醫臨床記錄作為我們的數據集，並研究了不同類型特徵和分類算法的效果。此外，我們提出了一種將深度學習文本表示與中醫領域知識相結合的新方法，從而獲得最佳的分類性能。 titleTranslation: 使用知識驅動的文檔嵌入進行中醫臨床記錄分類","","C:\Users\BlackCat\Zotero\storage\G2FZXGTK\Liang Yao 等。 - 2016 - Traditional Chinese medicine clinical records clas.pdf","","深度學習; 中醫; 機器學習; 詞向量; 病歷分析; 原始碼; 病歷分類; embedded","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","","","","","","","","","","","","","","",""
"SFLPS7MT","thesis","","邱奕傑","BERT 模型於中文誘餌式標題可解釋性之研究","","","","","","自然語言處理領域 (Natural Language Processing, NLP) 隨著機器學習(Machine Learning, ML) 與深度學習 (Deep Learning, DL) 的迅速發展，在許多任務上都得到了卓越的改善。誘餌式標題任務 (Clickbait) 在NLP中被視為一項重要任務，定義為在網路上故意用較為誇大、聳動、不實的文章標題以吸引網友點擊觀看的文章，像是常見的網路標題：「看完後我驚呆了！」、「全世界百萬人瘋傳，大家都驚呆了」、「面對記者的瘋狂追問，他竟這麼說」，主要是網路新媒體業想吸引大眾目光，獲得曝光度與點閱量，透過點閱量賺取廣告收益常採用的方法。在中文誘餌式標題任務中，常採用的ML與DL方法非常依賴人工特徵以及循環神經網路記憶長期資訊，無法準確學習到任務的內部特徵，導致模型分類準確率並不高，且模型不具有可解釋性 (Explainable AI, XAI)。XAI關心模型下判斷的理由，當模型的判斷會對使用者的生活造成重大影響，使用者卻無法得知判斷理由與信任模型時，模型將會百無一用。本論文以改善中文誘餌式任務準確度與證實模型具有可解釋性為目標，使用預訓練BERT模型搭配線性分類器與改善BERT輸入限制等問題，提升模型準確率；利用可視化注意力工具BertViz觀察模型內部權重，針對模型的XAI進行研究，證實模型具有可解釋性。","","2022-07-26 09:18:47","2022-10-27 09:02:43","","","","","","","","","","","","","國立中正大學","嘉義縣","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M4I4PDSA","webpage","","","基于神经网络的中文电子病历命名实体识别--《北京邮电大学》2018年硕士论文","","","","","https://cdmd.cnki.com.cn/Article/CDMD-10013-1018125116.htm","","","2022-08-14 03:24:28","2022-08-14 03:24:28","2022-08-14 03:24:28","","","","","","","","","","","","","","","","","","","","","","","C:\Users\BlackCat\Zotero\storage\TC4KNPI3\CDMD-10013-1018125116.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
